date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:13:17	605/605	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Nov%202021%2021:13:18%20GMT	https://rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/index.html	C:/My%20Web%20Sites/Slop3/rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/index.html	(from )
17:13:18	138/138	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Nov%202021%2021:13:18%20GMT	https://rawcdn.githack.com/robots.txt		(from )
17:13:18	1394/1394	---MCZ	200	added ('OK')	text/css	date:Mon,%2001%20Nov%202021%2021:13:18%20GMT	https://rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/TemplateData/style.css	C:/My%20Web%20Sites/Slop3/rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/TemplateData/style.css	(from https://rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/index.html)
17:13:18	1043/1043	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Nov%202021%2021:13:19%20GMT	https://rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/TemplateData/UnityProgress.js	C:/My%20Web%20Sites/Slop3/rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/TemplateData/UnityProgress.js	(from https://rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/index.html)
17:13:19	193878/193878	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2001%20Nov%202021%2021:13:19%20GMT	https://rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/TemplateData/unityloader41.js	C:/My%20Web%20Sites/Slop3/rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/TemplateData/unityloader41.js	(from https://rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/index.html)
17:13:19	577/577	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Nov%202021%2021:13:19%20GMT	https://rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/TemplateData/progressLogo.Light.png	C:/My%20Web%20Sites/Slop3/rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/TemplateData/progressLogo.Light.png	(from https://rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/TemplateData/style.css)
17:13:19	577/577	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Nov%202021%2021:13:19%20GMT	https://rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/TemplateData/progressEmpty.Light.png	C:/My%20Web%20Sites/Slop3/rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/TemplateData/progressEmpty.Light.png	(from https://rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/TemplateData/style.css)
17:13:19	577/577	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Nov%202021%2021:13:20%20GMT	https://rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/TemplateData/progressFull.Light.png	C:/My%20Web%20Sites/Slop3/rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/TemplateData/progressFull.Light.png	(from https://rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/TemplateData/style.css)
17:13:20	1476/1476	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Nov%202021%2021:13:20%20GMT	https://rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/TemplateData/progressLogo.Dark.png	C:/My%20Web%20Sites/Slop3/rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/TemplateData/progressLogo.Dark.png	(from https://rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/TemplateData/style.css)
17:13:20	114/114	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Nov%202021%2021:13:20%20GMT	https://rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/TemplateData/progressEmpty.Dark.png	C:/My%20Web%20Sites/Slop3/rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/TemplateData/progressEmpty.Dark.png	(from https://rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/TemplateData/style.css)
17:13:20	93/93	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Nov%202021%2021:13:20%20GMT	https://rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/TemplateData/progressFull.Dark.png	C:/My%20Web%20Sites/Slop3/rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/TemplateData/progressFull.Dark.png	(from https://rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/TemplateData/style.css)
17:13:20	577/577	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Nov%202021%2021:13:21%20GMT	https://rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/TemplateData/webgl-logo.png	C:/My%20Web%20Sites/Slop3/rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/TemplateData/webgl-logo.png	(from https://rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/TemplateData/style.css)
17:13:21	577/577	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Nov%202021%2021:13:21%20GMT	https://rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/TemplateData/fullscreen.png	C:/My%20Web%20Sites/Slop3/rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/TemplateData/fullscreen.png	(from https://rawcdn.githack.com/scheng123321/tmm-html5-cdn1/master/slope/TemplateData/style.css)
